country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
CHN,Golmud CPV,WKS0061199,50.0,15.8781,-39.9933,Solar,,OCEAN_COORDS,0.1041,False
USA,Back River Waste Water Treatment,USA0059026,,39.2997,-76.4942,Biomass,2009.8,MISSING_CAPACITY,0.1847,False
ITA,Jesolo,WKS0062180,5.2,45.5619,12.6294,Solar,,,0.1863,False
FRA,Appietto,WRI1024933,4.74928,42.0034,8.7342,Solar,,,0.1905,False
VNM,Dray H'Linh 1,WRI1030812,12.0,12.6712,107.9075,Hydro,1990.0,,0.0981,False
GBR,Bhlaraidh (previously Balmacaan),GBR0004640,110.0,57.2191,-4.5819,Wind,,,0.0963,False
ARG,COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,16.56,-45.8467,-67.4964,Wind,,,-0.0067,True
BRA,LOOP,BRA0033210,1.092,-22.5513,-47.3597,Oil,2010.0,,0.1011,False
CAN,Raleigh,CAN0008265,78.0,42.2743,-82.1824,Wind,,,0.1581,False
USA,Central Power Plant,USA0050621,11.0,41.745,-71.4584,Gas,1997.6363636363635,,0.183,False
FRA,MONTPEZAT,WRI1002748,131.8,43.7514,6.0888,Hydro,,,0.1436,False
CHN,Mori B,WKS0070276,20.0,44.011,90.33,Solar,,,0.1377,False
USA,Dalles Dam North Fishway Project,USA0007431,6.5,45.6144,-121.1369,Hydro,1991.0,,0.1193,False
USA,Colusa Generating Station,USA0056532,712.4,39.3661,-122.27,Gas,2011.0,,-0.0085,True
CHN,Dongtang Plant power station,WRI1075597,285.0,23.08,113.6292,Coal,2004.0,,0.062,False
IND,Khadoda Solar Power Plant,WRI1026157,10.0,23.443,73.2014,Solar,,,0.1324,False
SAU,QURAYYAH- CC,WRI1030694,3846.0,19.4937,-28.1605,Gas,2014.0,OCEAN_COORDS,-0.1697,True
BRA,Indústria de Feltros Santa Fé,BRA0031048,2.0,-23.4205,-46.2233,Oil,2006.0,,0.096,False
CHL,VOLCAN,CHL0001125,13.0,-33.8206,-70.2148,Hydro,,,0.0306,False
CHN,Ningxia Datang International Qingtongxia Stage 2,WRI1025965,,37.94,105.83,Solar,,MISSING_CAPACITY,0.1454,False
IND,Parigi SSJ,WKS0067256,5.0,19.3754,-22.2856,Solar,,OCEAN_COORDS,0.1174,False
CHN,Fuqing Jiaru Wind Power Phase 2,WRI1072073,48.0,25.571,119.554,Wind,,,0.102,False
PAK,Tenaga Generasi,WRI1030468,50.0,24.6129,67.43,Wind,2017.0,,0.1216,False
USA,Conejos 1 Community Solar Array,USA0060723,1.5,37.1959,-105.9824,Solar,2017.0,,0.1596,False
KOR,Uiam,WRI1000221,48.0,37.836,127.6779,Hydro,1967.0,,0.1081,False
USA,Kapaa Photovoltaic Project,USA0057525,1.0,22.0804,-159.3316,Solar,2011.0,,0.0222,False
USA,S W Bailey,USA0000085,25.9,55.3574,-131.697,Oil,1982.660231660232,,0.0342,False
IND,Kasaragod KSEB,WKS0065922,50.0,12.34,75.15,Solar,,,0.0977,False
DEU,Neubrandenburg Solar Power Plant,WRI1030047,2.9,53.5447,13.3304,Solar,,,0.1679,False
VNM,Lai Chau,WRI1030913,1200.0,22.1379,102.9839,Hydro,2015.0,,-0.0287,True
USA,Herington,USA0001283,,0.7982,-141.5724,Oil,2001.0,OCEAN_COORDS|MISSING_CAPACITY,0.0137,False
USA,Toledo Ref Power Recovery Train,USA0050965,6.0,41.6325,-83.5042,Petcoke,1986.0,,0.1859,False
AUS,Upper Lake Margaret,AUS0000133,8.4,-42.0046,145.5437,Hydro,,,-0.0741,True
FRA,Séry-lès-Mézières,WRI1024695,8.0,49.765,3.4235,Wind,,,0.1912,False
CHN,Funing Coal,WRI1070547,30.0,33.778,119.8087,Coal,2003.0,,0.1224,False
FRA,Verrières,WRI1025437,1.50923,46.4032,0.5971,Solar,,,0.1886,False
IND,Shivlakha - Backbone Solar Power Plant,WRI1026208,5.0,23.3585,70.6206,Solar,,,0.1325,False
AUS,Lilyvale Solar Farm,AUS0000582,100.0,-23.0875,148.439,Solar,,,-0.0498,True
