country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags,anomaly_score,is_anomaly
BRA,CNH Nova Califórnia,BRA0032292,4.84,-9.7378,-66.6061,Oil,2016.0,,0.0947,False
GBR,Far Marsh Farm (Resubmission),GBR0004660,7.5,53.6775,-0.1141,Wind,,,0.1779,False
USA,Tungsten Mountain,USA0060785,44.3,39.667,-117.6937,Geothermal,2018.1647855530475,,0.1303,False
ISR,Haifa,WRI1008358,282.0,32.8118,35.0232,Gas,1961.0,,0.0849,False
USA,USG 1,USA0061682,1.0,32.7928,-115.8573,Solar,2014.0,,0.1379,False
CHN,Yinxing Zhongning Dazhanchang Phase 2,WRI1072210,,37.3133,105.5472,Wind,,MISSING_CAPACITY,0.1447,False
USA,Westport,USA0001560,121.5,39.266,-76.6295,Gas,1969.0,,0.1416,False
CHL,PUNTA COLORADA,CHL0000080,16.609,-29.3668,-71.0429,Oil,,,0.053,False
BRA,Porto Franco,BRA0029059,,-11.8142,-46.7831,Hydro,2009.0,MISSING_CAPACITY,0.1098,False
ESP,P. E.  LA GAMONEDA (AMPLIADA CON RE-1814),WRI1006731,19.8,42.0357,-6.9054,Wind,,,0.1902,False
DNK,NÃ¸rre Ã˜kse SÃ¸,WRI1002300,17.3,57.1252,9.5452,Wind,,,0.1399,False
IRQ,Dokan Dam,WRI1008718,400.0,35.9542,44.571,Hydro,1979.0,,0.057,False
SVK,Liptovska Mara Pumped Storage Hydroelectric Power Plant Slovakia,GEODB0042636,198.0,49.0986,19.4889,Hydro,,,0.1133,False
DEU,P&L Werk Euskirchen,WRI1005993,,50.658,6.8101,Coal,,MISSING_CAPACITY,0.188,False
DEU,Gemeinschaftskraftwerk Irsching,WRI1005691,1391.0,48.767,11.58,Gas,,,-0.0444,True
FRA,Caissargues,WRI1025458,1.48317,43.7921,4.3955,Solar,,,0.1894,False
RUS,Enotaevka,WKS0071416,15.0,47.26,47.026,Solar,,,0.1504,False
CHN,Zhongning G,WKS0072311,25.0,37.616,105.783,Solar,,,0.1399,False
CHN,Liyujiang-2A power station,WRI1070468,630.0,25.9428,113.214,Coal,1999.0,,0.027,False
BRA,Codorna,BRA0000789,1.944,-20.1517,-43.8842,Hydro,,,0.0998,False
CHN,AlxaB,WKS0070194,40.0,38.56,105.648,Solar,,,0.1361,False
USA,Tesla,USA0007233,26.6,38.9737,-104.9011,Hydro,1997.0,,0.1564,False
USA,Glen,USA0003714,2.0,43.6368,-72.9758,Hydro,1920.0,,0.1844,False
BRA,Miassaba II,BRA0030370,,-5.0826,-36.4074,Wind,2011.0,MISSING_CAPACITY,0.108,False
FRA,DIRINON,WRI1002721,170.0,48.39,-4.26,Oil,,,0.1269,False
FIN,Vaaja,WRI1002570,3.6,63.096,21.6158,Hydro,,,0.0765,False
FRA,Villar-d'Arêne,WRI1024941,4.659,45.0001,6.3639,Hydro,,,0.1895,False
CAN,Tobique,CAN0008477,20.0,46.7801,-67.6953,Hydro,,,0.1501,False
USA,Yough Hydro Power,USA0052036,12.2,39.8016,-79.3682,Hydro,1990.0,,0.1837,False
BRA,Sistema de Cogeração da  RECAP,BRA0027902,22.5,-23.6388,-46.4666,Oil,,,0.0926,False
ESP,Moclinejo,WKS0060232,7.0,36.7848,-4.2672,Solar,,,0.1784,False
USA,Sacket Lake Rd #2 Community Solar Farm,USA0062159,1.7,41.3825,-74.4353,Solar,2019.0,,0.1879,False
ESP,SERRA DEL TALLAT,WRI1007901,49.5,42.3833,2.2667,Wind,2007.0,,0.1738,False
IND,Harij,WKS0073925,30.0,23.715,71.875,Solar,,,0.1271,False
CHN,Sichuan Miaopu,WRI1071071,30.0,30.2,102.09,Hydro,,,0.1214,False
FRA,Langogne,WRI1024710,8.0,44.7238,3.8338,Hydro,,,0.1931,False
USA,Naval Air Weapons Station China Lake,USA0057764,11.1,35.6877,-117.6814,Solar,2012.0,,0.1476,False
RUS,Smolenskaya CHPP-2,WRI1061734,275.0,54.7713,32.1439,Gas,1973.0,,0.0531,False
FRA,BROMMAT,WRI1002700,406.0,44.768,2.684,Hydro,,,0.0725,False
IND,Kalamarahalli,WKS0062239,10.9,14.109,76.758,Solar,,,0.1123,False
DEU,Köthen Flugplatz,WKS0060075,14.8,51.72,11.971,Solar,,,0.1779,False
IDN,PLTU Sumbar - Teluk sirih Unit 1,WRI1000980,112.0,-1.0772,100.3727,Coal,,,0.0414,False
GBR,ReFood - Dagenham Docks Biogas (Waste AD),GBR0000328,,51.5241,0.1364,Biomass,,MISSING_CAPACITY,0.1884,False
IRN,Sefid Rood,WRI1008181,87.0,36.7434,49.4022,Hydro,1964.0,,0.1201,False
ARG,CT REALICO,ARG0000184,24.0,-35.055,-64.2406,Oil,,,0.0233,False
USA,Aqua Ingrams Mill,USA0057280,,39.9647,-75.6578,Solar,2010.0,MISSING_CAPACITY,0.1838,False
VNM,Dak Ro Sa 2,WRI1030846,2.4,14.7135,107.8211,Hydro,2012.0,,0.0977,False
FRA,Canadel,WKS0069161,10.4,43.165,6.477,Solar,,,0.1927,False
USA,Lakota Wind Wind Farm,USA0057251,10.5,43.3839,-94.1475,Wind,2009.0,,0.178,False
GBR,Newlincs EfW,GBR0000850,3.2,53.6019,-0.1638,Waste,,,0.1786,False
DEU,Dow Stade,WRI1005639,173.0,53.6519,9.5079,Gas,2014.0,,0.1065,False
BRA,Telesp,BRA0031553,1.12,-23.5066,-46.9,Oil,1900.0,,0.0953,False
USA,VEC Magee Hill Solar,USA0060954,1.3,44.3682,-73.0608,Solar,2017.0,,0.1816,False
CZE,Hudcov Solar Power Plant,WRI1029679,2.0,50.6314,13.7806,Solar,,,0.1825,False
DEU,Biomasseheizkraftwerk Piesteritz,WRI1005600,18.1,51.8712,12.6185,Biomass,2009.0,,0.1771,False
USA,MESA 2,USA0060021,,47.9727,-122.1987,Storage,2017.0,MISSING_CAPACITY,0.1068,False
USA,Mount Sinai Hospital,USA0061416,18.700000000000003,40.79,-73.9537,Oil,1996.122994652406,,0.181,False
ESP,La Veguilla,WKS0060171,,38.0016,-4.3197,Solar,,MISSING_CAPACITY,0.181,False
USA,Victor Dry Farm Ranch A,USA0058418,5.0,34.5011,-117.4667,Solar,2015.0,,0.1459,False
GBR,Coombe Farm,GBR0002173,8.0,50.6582,-3.3934,Solar,,,0.1909,False
USA,Pulliam,USA0004072,91.0,44.54,-88.0086,Gas,2003.0,,0.1479,False
CHN,Yunnan Lincang Nanpeng River Dayakou,WRI1071928,102.0,23.6484,98.9388,Hydro,,,0.1041,False
USA,Old Catawba PV 1,USA0059519,3.5,35.7117,-81.1342,Solar,2016.0,,0.1803,False
PRT,Paus,WRI1022755,4.0,41.9146,-8.5902,Hydro,1993.0,,0.1832,False
USA,Ocean State Power II,USA0054324,254.2,42.0099,-71.6701,Gas,1991.0,,0.1122,False
FRA,Trets,WRI1025654,1.14191,43.4378,5.7002,Solar,,,0.1896,False
FRA,Mervent,WRI1025463,1.472,46.5324,-0.7483,Hydro,,,0.1912,False
GBR,Knowlton,GBR0001382,11.541,51.2349,1.2649,Solar,,,0.1884,False
USA,Blue Canyon Windpower VI LLC,USA0057616,100.0,34.9104,-98.5599,Wind,2012.0,,0.1369,False
NOR,Dynjanfoss,WRI1003090,39.0,58.9516,8.3953,Hydro,,,0.1139,False
CHN,Ruoqiang A,WKS0070253,20.0,38.946,88.199,Solar,,,0.1469,False
USA,Wise,USA0000292,16.4,38.8899,-121.0985,Hydro,1928.9512195121952,,0.1389,False
ESP,La Flamenca,WKS0060223,7.2,37.28,-7.259,Solar,,,0.1754,False
GBR,Cattlegate Farm Biogas (Farm AD),GBR0000342,1.5,51.696,-0.1116,Biomass,,,0.1881,False
FRA,Ardin,WRI1024622,9.0,46.4813,-0.555,Wind,,,0.1927,False
USA,Cottage Grove CSG  LLC,USA0061483,5.0,44.8421,-92.8737,Solar,2018.0,,0.1736,False
USA,Pinnacles,USA0003825,11.1,36.6669,-80.4479,Hydro,1938.0,,0.177,False
FRA,Sarcelles,WRI1024976,4.4,48.9903,2.3813,Biomass,,,0.1933,False
USA,Whitetail Solar 1,USA0062989,13.5,40.1414,-77.6097,Solar,2020.0,,0.1823,False
USA,EDF Renewable Windfarm V Inc,USA0054453,15.5,38.1167,-121.8333,Wind,1990.0,,0.139,False
USA,Manitowoc,USA0004125,117.4,44.082,-87.6558,Petcoke,1984.989778534923,,0.1392,False
USA,Seiling Wind II,USA0059312,98.6,36.1225,-98.9922,Wind,2015.0,,0.1382,False
USA,Morgan Farm  LLC,USA0060133,5.0,8.8772,-24.6977,Solar,2016.0,OCEAN_COORDS,0.0999,False
ITA,CENTRALE NATURNO,WRI1002868,175.0,46.6487,11.0051,Hydro,,,0.1259,False
IND,Veltoor Suzlon,WKS0067107,100.0,16.445,77.867,Solar,,,0.0958,False
USA,Eagle,USA0002555,6.0,43.9097,-75.2008,Hydro,1918.6666666666667,,0.1833,False
IND,BHAKRA,IND0000047,1379.0,31.4107,76.4328,Hydro,1964.0,,-0.0294,True
BRA,CRV,BRA0029162,4.0,-7.055,-140.434,Biomass,,OCEAN_COORDS,0.0045,False
PHL,SLTEC Putting Bato,WRI1023889,270.0,13.9328,120.7909,Coal,2016.0,,0.0349,False
BRA,Antunes,BRA0030880,1.0,-27.6497,-51.195,Hydro,,,0.0802,False
CHN,Qili} M,WKS0065817,75.0,40.13,94.473,Solar,,,0.1217,False
SGP,Senoko I-VII CCGT Power Plants Singapore,GEODB0005331,2807.0,1.4655,103.7996,Gas,,,-0.145,True
CAN,Fitzpatrick Mountain,CAN0007859,1.6,45.6264,-62.9013,Wind,,,0.1553,False
USA,MP Wayne LLC,USA0057366,3.3000000000000003,35.2889,-78.0703,Waste,2011.0,,0.1784,False
ROU,Deta A,WKS0073901,6.0,45.3954,21.1997,Solar,,,0.1776,False
POL,EW Karwice,WRI1061553,40.0,54.3081,16.5663,Wind,2015.0,,0.1378,False
USA,Southbridge Landfill Gas-to-Energy,USA0059011,,42.1044,-72.0325,Waste,2011.0,MISSING_CAPACITY,0.1825,False
USA,Wakefield,USA0002311,4.1000000000000005,42.2691,-96.8621,Gas,1959.0243902439024,,0.1747,False
USA,Davis Dam,USA0000152,254.8,35.197,-114.5707,Hydro,1951.0,,0.0656,False
CHN,Datang Chifeng Danianzi Wind,WRI1071326,49.0,42.62,117.93,Wind,,,0.127,False
FRA,Tauriac-de-Naucelle,WRI1025713,1.07984,44.1452,2.3235,Solar,,,0.191,False
GBR,Balhearty Solar,GBR0005795,5.0,56.143,-3.712,Solar,,,0.1598,False
VNM,Thai Binh Power Center,WRI1075848,600.0,20.481,106.5605,Coal,2017.0,,0.0233,False
CHN,Jinchuan Works power station,WRI1070432,300.0,38.491,102.1687,Coal,2008.0,,0.078,False
CHL,Cardones I,WKS0071653,29.2,-27.35,-70.395,Solar,,,0.0571,False
USA,Tahquitz High School,USA0058232,1.0,33.7672,-117.0175,Solar,2012.0,,0.1413,False
CHE,Martina,WRI1004342,84.0,46.8842,10.4627,Hydro,1994.0,,0.1565,False
VNM,Song Pha,WRI1030788,7.5,11.8331,108.6841,Hydro,1995.0,,0.0897,False
BRA,Sumaúma,BRA0028577,4.0,-9.6678,-35.8187,Biomass,,,0.101,False
FRA,Le Vauclin,WRI1025695,1.1,14.5435,-60.8568,Wind,,,0.1121,False
CZE,Radvanice Solar Power Plant,WRI1029440,2.3,49.5169,17.4855,Solar,,,0.1806,False
CAN,Box Springs,CAN0007692,6.0,50.1004,-110.7276,Wind,,,0.1153,False
DEU,Wedel,WRI1006131,101.0,53.5663,9.7285,Oil,1972.0,,0.127,False
USA,TA-High Desert LLC,USA0058149,20.0,34.7089,-118.3047,Solar,2013.0,,0.1424,False
IND,Bandarupalli A,WKS0074074,15.0,-19.8684,68.4798,Solar,,OCEAN_COORDS,0.0587,False
USA,Atood II,USA0061960,2.0,35.0303,-81.8085,Solar,2019.0,,0.1762,False
USA,Mustang Solar,USA0061533,5.0,35.4162,-79.576,Solar,2018.0,,0.1818,False
USA,Lawrenceburg Power  LLC,USA0055502,1232.0,39.0911,-84.8669,Gas,2004.0,,-0.0251,True
MEX,Mocúzari,MEX0006569,9.6,27.2251,-109.1068,Hydro,,,0.1222,False
USA,Ridgewood Providence Power,USA0050365,6.4,41.8069,-71.53,Waste,2005.0,,0.1854,False
USA,Scherer,USA0006257,3564.0,33.0606,-83.8075,Coal,1985.5,,-0.1622,True
USA,Schell Solar Farm,USA0059591,5.0,36.4356,-77.5664,Solar,2017.0,,0.1791,False
CAN,Mactaquac,CAN0002187,668.0,45.9551,-66.8665,Hydro,,,0.0176,False
USA,Flambeau Lower Project,USA0055685,1.2000000000000002,45.9135,-90.4475,Hydro,1923.0,,0.1662,False
BRA,Una Açúcar e Energia,BRA0028726,3.0,-8.7608,-35.3058,Biomass,,,0.1006,False
FRA,Saint-Paulien,WRI1025424,,45.1352,3.8215,Solar,,MISSING_CAPACITY,0.189,False
FRA,Ansauvillers,WRI1024395,11.5,49.567,2.3874,Wind,,,0.1914,False
RUS,Bichur SES,WRI1062209,10.0,50.6268,107.6166,Solar,,,0.1153,False
CHL,Salvador,WKS0063118,68.0,-26.27,-69.63,Solar,,,0.0423,False
RUS,Yelets Thermal Power Plant,WRI1061732,,52.5947,38.5148,Gas,1955.0,MISSING_CAPACITY,0.1474,False
USA,Kinder Morgan Fordham,USA0062614,1.7,-1.9603,-164.9923,Solar,2018.0,OCEAN_COORDS,-0.0173,True
ARE,Layyah Power Station (LPS),WRI1023584,911.0,25.3527,55.3705,Gas,1977.0,,0.001,False
BRA,Grupo Geradores Moore,BRA0028938,1.296,-23.529,-46.7825,Oil,2002.0,,0.0963,False
USA,Oroville Cogeneration LP,USA0054477,7.699999999999999,39.492,-121.5628,Gas,1990.0,,0.1386,False
PAN,Central 9 de Enero (JB) CCGT Power Plant Panama,GEODB0043528,160.0,9.3796,-79.8219,Gas,,,0.051,False
CZE,Uherský Ostroh 1 Solar Power Plant,WRI1029447,1.0,48.9718,17.4032,Solar,,,0.1797,False
ESP,ENTREPENAS GRUPO 1,WRI1006462,40.8,40.5175,-2.7925,Hydro,1956.0,,0.1696,False
BRA,Baixa do Feijão I,BRA0030932,,-5.3698,-36.0317,Wind,2016.0,MISSING_CAPACITY,0.1074,False
USA,Sam Rayburn Dam,USA0006413,52.0,31.0609,-94.1062,Hydro,1965.0,,0.136,False
POL,FW Lipniki,WRI1061600,30.0,50.5355,17.1067,Wind,2011.0,,0.1676,False
ESP,PARQUE EOLICO PALOMAREJO,WRI1007592,30.0,37.3222,-6.0586,Wind,2012.0,,0.1677,False
USA,IKEA College Park 411,USA0058015,1.0,39.021,-76.926,Solar,2012.0,,0.1824,False
USA,Slayton Solar,USA0058164,,43.9803,-95.7672,Solar,2013.0,MISSING_CAPACITY,0.1723,False
USA,MacArthur Waste to Energy Facility,USA0051038,12.5,40.7869,-73.1064,Waste,1990.0,,0.1834,False
MEX,Energía Eléctrica de Juárez,MEX0006701,,31.5554,-106.486,Biomass,,MISSING_CAPACITY,0.1418,False
VNM,Ta Thang,WRI1030920,60.0,22.2987,104.0221,Hydro,2013.0,,0.1074,False
CZE,Rýmařov Solar Power Plant,WRI1029737,1.1,49.9381,17.2771,Solar,,,0.1777,False
ITA,Giave,WKS0061327,16.0,40.469,8.712,Solar,,,0.1846,False
LKA,Samanala,WRI1030415,124.0,6.9778,80.4567,Hydro,,,0.056,False
CHL,Loma Los Colorados (KDM),CHL0003018,2.0,-32.9557,-70.8043,Biomass,,,0.0317,False
GBR,Bad a Cheo Wind Farm,GBR2001076,26.7,58.4205,-3.4292,Wind,,,0.1275,False
USA,Rock Creek Dairy,USA0058142,3.2,42.5003,-114.615,Biomass,2012.0,,0.1407,False
GBR,Raventhorpe Farm,GBR0002241,38.0,53.5604,-0.5813,Solar,,,0.1628,False
CHN,Huaneng Inner Mongolia Manzhouli Donghu,WRI1072138,49.0,49.561,117.5809,Wind,,,0.1085,False
USA,Cherry Hill,USA0057734,,-18.0809,81.1165,Solar,2010.0,OCEAN_COORDS|MISSING_CAPACITY,0.0645,False
IND,Khetusar - Northern Solar Power Plant,WRI1026159,,27.3225,71.9951,Solar,,MISSING_CAPACITY,0.1367,False
CHN,Yunnan Wanjiakouzi Hydro,WRI1072128,180.0,26.2667,104.5476,Hydro,,,0.0868,False
USA,Morelos del Sol,USA0060007,15.0,35.7314,-119.8187,Solar,2015.0,,0.1427,False
CHN,Baishan - Hunjiang 2 Coal,WRI1070355,600.0,41.97,126.473,Coal,2007.0,,0.0138,False
FIN,Vajukoski,WRI1002572,21.0,67.4167,26.6,Hydro,,,0.0504,False
POL,EC Rzeszów,WRI1019087,129.0,50.0646,22.0294,Gas,,,0.1296,False
CHN,Tulufan E,WKS0065041,20.0,43.134,89.355,Solar,,,0.1407,False
CHN,TeSP} N,WKS0066270,45.0,37.532,105.035,Solar,,,0.1355,False
GBR,The Kickles,GBR0002319,5.0,52.0962,-0.7429,Solar,,,0.1911,False
CHN,Wujiaqu power station,WRI1070286,3640.0,44.2686,87.6881,Coal,2013.0,,-0.1482,True
USA,Olinda Trail Solar,USA0063401,1.0,45.3159,-92.8041,Solar,2019.0,,0.1654,False
NZL,Wairakei,WRI1000331,132.0,-38.6266,176.1055,Geothermal,,,-0.1167,True
CHN,Heilongjiang Hulin Shiqingshan 1st Phase,WRI1071755,45.0,45.8378,132.9553,Wind,,,0.0805,False
IND,Hardhani 20,WKS0066856,20.0,26.73,73.199,Solar,,,0.1349,False
JPN,Kawasaki A,WKS0067747,5.0,33.6186,130.8108,Solar,,,0.1049,False
USA,SCE-Snowline-Duncan Road (North),USA0059359,1.5,34.4739,-117.5628,Solar,2014.0,,0.1445,False
IND,Bhagavathikere,WKS0067289,10.0,14.074,76.72,Solar,,,0.112,False
USA,Kenansville,USA0059051,2.0,34.96,-78.04,Solar,2014.0,,0.1769,False
FRA,Saint-Maurice-en-Valgodemard,WRI1024487,10.0,44.7984,6.1126,Hydro,,,0.193,False
CHN,DhSP} H,WKS0062474,20.0,37.352,97.21,Solar,,,0.1442,False
CHN,Tongliao Beiqinghe Wind Farm,WRI1023847,,43.94,121.18,Wind,,MISSING_CAPACITY,0.1226,False
GBR,Helland Meads - resubmission,GBR0002164,1.2,51.0174,-2.9591,Solar,,,0.1864,False
USA,MSC-Empire01  LLC,USA0062740,1.0,44.6741,-93.1163,Solar,2019.0,,0.1716,False
IND,Bid Madhopur,WKS0065931,,23.946,76.031,Solar,,MISSING_CAPACITY,0.1336,False
NOR,Mesna,WRI1003357,42.0,61.117,10.4709,Hydro,,,0.0948,False
ESP,Villabrázaro,WKS0060315,5.5,42.0471,-5.699,Solar,,,0.192,False
USA,Mercy Medical Center,USA0058163,2.1999999999999997,40.6883,-73.6308,Oil,1990.7272727272727,,0.1874,False
IRQ,DIBIS,WRI1008695,320.0,35.6801,44.0655,Gas,2012.0,,0.0722,False
GBR,Ardoch and Over Enoch Wind Farm (Ardoch),GBR0003925,7.2,55.72,-4.2537,Wind,,,0.1604,False
DEU,Bad Aibling Solar Power Plant,WRI1030389,2.3,47.8798,11.9799,Solar,,,0.188,False
GBR,Upper Ardgrain Wind Farm,GBR0003524,2.4,57.4064,-2.0598,Wind,,,0.1471,False
NLD,Test Site Lelystad,WRI1005455,8.3,52.5083,5.475,Wind,2012.0,,0.181,False
USA,DSM Pharmaceuticals,USA0054887,9.2,35.666,-77.3574,Oil,1995.282608695652,,0.1777,False
CHN,Cgn Luoding Yapoji Wind,WRI1072075,49.0,22.622,111.187,Wind,,,0.1073,False
SWE,Kvarnaholm,WRI1002068,5.6,60.45,14.55,Hydro,1958.0,,0.1071,False
RUS,Kashhatau HPP of the Cascade of Nizhne-Cherekskiye HPPs,WRI1061689,65.1,43.3304,43.6463,Hydro,,,0.1361,False
BRA,Aimorés,BRA0000042,330.0,-19.4983,-41.0236,Hydro,2005.0,,-0.001,True
USA,Dafter,USA0001868,8.0,46.3744,-84.4172,Oil,1958.75,,0.1679,False
CZE,Sychrov Solar Power Plant,WRI1029435,1.0,50.5502,14.9848,Solar,,,0.1785,False
FRA,Rivesaltes,WKS0070470,13.5,42.7969,2.8853,Solar,,,0.1938,False
USA,Upper Blackstone (MA) Treasure Valley,USA0059781,5.0,42.3328,-71.9876,Solar,2014.0,,0.1876,False
USA,Rocky Mountain Hydroelectric Plant,USA0006189,847.8000000000001,-23.0141,73.7278,Hydro,1995.0,OCEAN_COORDS,-0.0695,True
BRA,Serra de Santana I,BRA0030625,20.0,-6.0566,-36.5806,Wind,2016.0,,0.1074,False
BEL,DROGENBOS GT0,WRI1002225,48.0,50.8023,4.299,Gas,,,0.1675,False
USA,TAC-Distributed Energy Resource Hybrid,USA0061990,1.5000000000000002,40.0898,-88.2436,Gas,2016.999999999999,,0.1791,False
RUS,Vladivostok-2 power station,WRI1075839,300.0,43.1009,131.9722,Coal,1971.0,,0.0334,False
DEU,Emkendorf,WKS0068661,4.4,54.264,9.79,Solar,,,0.1627,False
USA,Ramona 2,USA0058911,,33.0122,-116.875,Solar,2014.0,MISSING_CAPACITY,0.1416,False
CZE,Světlík Solar Power Plant,WRI1029513,2.1,48.7251,14.2035,Solar,,,0.1853,False
FRA,Bédarieux,WRI1024687,8.11368,43.6127,3.1664,Solar,,,0.1941,False
USA,Roseville Solar,USA0062114,1.0,38.7918,-121.3853,Solar,2019.0,,0.1404,False
JOR,Amman East (AES Jordan) CCGT Power Plant Jordan,GEODB0002102,620.0,31.8997,36.0801,Gas,,,0.0351,False
LKA,Mampuri-III,WRI1030397,10.5,8.0055,79.7308,Wind,,,0.0934,False
USA,Hanover,USA0059628,5.0,40.0653,-74.5906,Solar,2015.0,,0.1861,False
BRA,Bioenergética Vale do Paracatu - BEVAP,BRA0030063,55.0,-26.7101,87.5293,Biomass,2011.0,OCEAN_COORDS,0.0186,False
USA,Goose Creek Energy Center,USA0055496,684.0,40.1069,-88.5999,Gas,2003.0,,0.0399,False
JPN,Shibushi - Solarig Solar Power Plant,WRI1026557,1.7,31.4911,131.1142,Solar,,,0.0928,False
BRA,Santo Antônio,BRA0028344,23.0,-21.1163,-47.9514,Biomass,1990.0,,0.0975,False
IND,Amarpur Refex,WKS0067267,10.0,24.77,78.445,Solar,,,0.1293,False
USA,Moorhead Wind Turbine,USA0007855,1.4,46.895,-96.7347,Wind,2000.0,,0.1603,False
FRA,Queige,WRI1024135,14.7,45.7077,6.4651,Hydro,,,0.1847,False
USA,LSP-Whitewater LP,USA0055011,283.5,42.8555,-88.7299,Gas,1997.0,,0.0949,False
IRN,Dez,WRI1008129,520.0,32.6053,48.464,Hydro,1962.0,,0.0403,False
USA,Milton Hydro,USA0010519,1.4,43.4031,-70.9865,Hydro,1955.428571428571,,0.1805,False
USA,Pleasant Valley Wind Farm,USA0059201,200.0,43.805,-92.7697,Wind,2015.0,,0.1101,False
FIN,Simpele,WRI1002535,34.5,61.4333,29.3667,Biomass,,,0.0763,False
BRA,Bio Alvorada,BRA0030975,50.0,-18.4371,-49.1806,Biomass,2013.0,,0.082,False
CUB,Varadero Powerplant,WRI1002021,173.0,23.0879,-81.2695,Gas,,,0.0872,False
USA,Nick Solar,USA0058741,5.0,35.9911,-79.5481,Solar,2014.0,,0.1828,False
USA,Don A Campbell 2 Geothermal,USA0060419,25.0,38.8358,-118.3253,Geothermal,2015.0,,0.1402,False
CHN,Yunnan Chahe 3rd Level,WRI1071850,8.0,25.7244,98.8767,Hydro,,,0.1286,False
SVK,Badín,WKS0063339,6.0,48.265,19.056,Solar,,,0.1827,False
NOR,RKA Nyhamna,WRI1003453,253.0,62.8489,6.9433,Gas,,,0.0315,False
USA,Rippey Wind Farm,USA0057830,50.0,42.0061,-94.2378,Wind,2012.0,,0.1586,False
IRQ,Hemrin Dam,WRI1008720,,34.1115,44.9737,Hydro,1981.0,MISSING_CAPACITY,0.1447,False
CAN,Port Alice,CAN0008241,26.1,50.3839,-127.4509,Biomass,,,0.0751,False
CHN,Xinjiang Kashi River Taledesayi,WRI1072204,80.0,43.7052,83.6712,Hydro,,,0.1189,False
CHN,Sichuan Dechang Xinma,WRI1071401,120.0,27.1946,102.2811,Hydro,,,0.0978,False
USA,SEPV 18,USA0059730,2.0,34.6136,-117.9344,Solar,2016.0,,0.1438,False
USA,Flat Ridge Wind Energy LLC,USA0056879,,37.3764,-98.4583,Wind,2009.0,MISSING_CAPACITY,0.1721,False
USA,Newport Hydro,USA0050354,1.7000000000000002,43.1853,-75.0169,Hydro,1988.0,,0.1864,False
USA,Deer Creek PH,USA0000233,,5.2997,-167.4925,Hydro,1908.0,OCEAN_COORDS|MISSING_CAPACITY,-0.0213,True
FRA,PORCHEVILLE,WRI1002757,2290.0,48.9692,1.7588,Oil,,,-0.1043,True
BRA,Atacadão Ipiranga,BRA0033354,1.08,-23.5773,-46.5918,Oil,2013.0,,0.0948,False
USA,Gila River Power Block 1,USA0059338,619.0,32.975,-112.6944,Gas,2003.0,,0.0094,False
USA,PCA-Valdosta Mill,USA0060084,69.9,30.6944,-83.3031,Biomass,1996.6480686695272,,0.1334,False
CHN,Heimifeng,WRI1000560,1200.0,28.46,113.01,Hydro,2010.0,,-0.0182,True
USA,Cross Winds Energy Park,USA0058830,230.9,43.6103,-83.4856,Wind,2017.215244694673,,0.109,False
USA,Sycamore Cogeneration,USA0050134,300.0,35.4526,-118.9853,Gas,1988.0,,0.0522,False
IND,Durg,WKS0065667,,21.523,81.275,Solar,,MISSING_CAPACITY,0.1263,False
CHN,Diandong power station,WRI1070191,2400.0,16.8635,-34.126,Coal,2007.0,OCEAN_COORDS,-0.1273,True
SDN,Kilo-X Nec,WRI1023176,,15.6482,32.563,Oil,,MISSING_CAPACITY,0.1174,False
USA,500 Virginia Solar,USA0057640,1.0,40.1392,-75.1917,Solar,2011.0,,0.1834,False
AUT,Vienna-Freudenau,WRI1005267,172.0,48.1766,16.4814,Hydro,1999.0,,0.1237,False
CAN,Wolfe Island,CAN0002258,197.8,44.179,-76.4725,Wind,,,0.1145,False
CAN,Northern Pulp Nova Scotia Pictou Mill,CAN0008172,26.0,-3.084,-145.1356,Biomass,,OCEAN_COORDS,0.0017,False
USA,UNH 7.9 MW Plant,USA0058180,7.9,43.1367,-70.9361,Waste,2006.0,,0.1777,False
CHN,Luoning A,WKS0073747,15.0,34.374,111.495,Solar,,,0.1365,False
SRB,HE BAJINA BASTA,WRI1020282,420.0,43.9645,19.4102,Hydro,,,0.0712,False
CHN,Hebei Shangyi Hanjiazhuang Phase 2,WRI1071662,49.0,41.0802,114.0944,Wind,,,0.1324,False
BRA,Sobradinho,BRA0002755,1050.3,-9.4314,-40.8278,Hydro,1982.0,,-0.0626,True
DEU,Kohlekraftwerk,WRI1005869,14.4,50.7055,6.6536,Coal,2010.0,,0.1868,False
EGY,Esna,WRI1000108,86.0,25.3177,32.5544,Hydro,1993.0,,0.1079,False
ESP,P.E. LOS LABRADOS,WRI1007115,24.0,41.5558,-0.9601,Wind,2002.0,,0.1895,False
CHN,Hebei Fengning Batou Wind,WRI1071522,48.0,41.4744,116.1817,Wind,,,0.1362,False
GBR,Turret water treatment works,GBR0000419,1.9,56.373,-3.8393,Hydro,,,0.1523,False
CHN,Sanmexia,WRI1000547,400.0,34.83,111.34,Hydro,1960.0,,0.0572,False
IND,BhSP} Roha,WKS0062577,27.6,27.541,71.921,Solar,,,0.13,False
CHN,Sichuan Fangdaping,WRI1071569,24.0,29.42,102.1922,Hydro,,,0.1222,False
BGD,Siddirgonj (Desh),WRI1029251,96.0,23.6825,90.5252,Oil,,,0.1023,False
ESP,P. E. LOS ALMENDROS II,WRI1006827,28.0,38.4792,-1.325,Wind,2007.0,,0.1716,False
