country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags
USA,Shane's Wind Machine,USA0056577,1.3,44.1508,-96.1361,Wind,2006.0,
NOR,Dalvatn,WRI1003076,37.0,59.6906,6.5701,Hydro,,
VEN,Ricardo Zuloaga (Tacoa) Thermal Power Plant Venezuela,WRI1061135,1720.0,10.5877,-67.0806,Gas,1956.0,
CHN,Yangshugoucun A,WKS0074133,20.0,37.957,113.611,Solar,,
DEU,Glesien Solar Power Plant,WRI1030152,4.2,51.4452,12.2345,Solar,,
GBR,Land at Barnham,GBR0005832,1.0,50.8226,-0.6514,Solar,,
BRA,Porto Colômbia,BRA0002117,319.2,-20.1242,-48.5719,Hydro,1973.0,
IND,NPKSP} Azure D,WKS0068852,50.0,14.034,78.443,Solar,,
ESP,PARQUE EOLICO CERRO DE LA HIGUERA,WRI1007350,36.0,36.878,-4.8469,Wind,2009.0,
GBR,Craigannet Farm Wind Turbine,GBR0006318,1.5,56.0455,-4.0685,Wind,,
BRA,Suzano,BRA0002787,38.4,-23.539,-46.3015,Gas,1973.0,
BRA,Ventos de Santo Augusto I,BRA0031746,18.4,-7.6525,-40.6276,Wind,2017.0,
USA,Chappell,USA0002230,1.1,41.0926,-102.4715,Oil,1982.0,
CHN,Yutan Hydroelectric,WRI1070978,16.0,6.2755,-34.9201,Hydro,,OCEAN_COORDS
CAN,Cowley North,CAN0007787,19.5,-2.4527,-129.5235,Wind,,OCEAN_COORDS
ROU,Berceni I,WKS0062409,10.0,44.913,26.148,Solar,,
FRA,Hauteluce,WRI1024652,8.5,45.7642,6.6156,Hydro,,
CAN,Midhurst 2,CAN0008121,3.5,44.5392,-79.765,Solar,,
USA,Michael Solar,USA0060971,3.0,45.6675,-94.7083,Solar,2018.0,
USA,South Canal Hydro-1,USA0058783,,38.4833,-107.755,Hydro,2013.0,MISSING_CAPACITY
GBR,Whiteside Hill,GBR2001069,25.3,55.3574,-4.0294,Wind,,
BRA,Bimbo do Brasil,BRA0031260,1.48,-23.5435,-46.6266,Oil,2010.0,
CHN,Yaohai A,WKS0073769,50.0,31.93,117.335,Solar,,
GBR,Bransholme Solar CIC,GBR0005214,5.0,53.8085,-0.3158,Solar,,
USA,Unisea G 2,USA0054422,17.5,53.8796,-166.5532,Oil,1992.5142857142855,
USA,Marshall Wind 5 LLC,USA0056827,2.1,44.3303,-95.8344,Wind,2008.0,
TUR,Pamukören 2,WRI1018966,,-18.5961,78.6581,Geothermal,,OCEAN_COORDS|MISSING_CAPACITY
CAN,Isle-Maligne,CAN0002158,463.8,48.5771,-71.6347,Hydro,,
DEU,Kachlet,WRI1005853,53.7,48.5797,13.4083,Hydro,1927.0,
ARG,MERCEDES,ARG0000129,2.308,-29.1808,-58.0793,Oil,,
FRA,Lugo Di Nazza,WRI1026704,39.0,42.091,9.316,Hydro,1991.0,
IND,Dhank - Aravali Solar Power Plant,WRI1026135,5.0,21.7766,70.0773,Solar,,
USA,PCS Nitrogen Fertilizer LP,USA0050341,14.0,30.227,-91.0551,Cogeneration,2007.7142857142856,
USA,Central Utility Plant at White Oak,USA0058207,54.3,39.0394,-76.9825,Gas,2010.32044198895,
BRA,Floraplac,BRA0027926,1.25,-3.1995,-47.5937,Biomass,2000.0,
BIH,Capljina Pumped Storage Power Plant Bosnia and Herzegovina,GEODB0044764,420.0,43.0133,17.8041,Hydro,,
CHN,Huaneng Tongjiang Jiangsheng,WRI1072425,49.0,47.9361,132.8886,Wind,,
GBR,Sandhill Anaerobic Digestion Plant (Waste AD),GBR0000245,2.0,53.992,-0.4985,Biomass,,
USA,Wyckoff Heights Medical Center,USA0063644,1.6,40.7041,-73.9177,Oil,1990.0,
USA,Gordon,USA0003976,6.999999999999999,46.2367,-91.7855,Oil,1991.2,
CAN,Bear Mountain,CAN0002105,102.0,55.7041,-120.4264,Wind,,
MEX,Pemex-Gas y Petroquímica Básica  Complejo Procesador de Gas Nuevo Pemex,MEX0001812,367.4,17.858,-93.123,Gas,,
GBR,Crowmarsh Battle Farm (Farm AD),GBR0000386,2.3,51.611,-1.1033,Biomass,,
GBR,Pilsworth Quarry Landfill Scheme,GBR0000571,4.1,53.5836,-2.2583,Waste,,
BRA,YAMADA PÁTIO BELÉM,BRA0033439,1.025,-1.4532,-48.4853,Oil,2007.0,
RUS,Irganayskaya HPP,WRI1061675,400.0,42.7452,46.8316,Hydro,,
AUS,Whyalla SSE,WKS0071501,6.0,-33.007,137.558,Solar,,
SAU,DAMMAM,WRI1030650,397.8999999999999,26.38,50.093,Gas,2000.0,
CZE,Zašová Solar Power Plant,WRI1029780,9.3,49.5653,17.9129,Solar,,
GBR,Weddington Farm,GBR2001102,2.1,52.2176,-1.4083,Solar,,
GTM,Jurun Marinala,WRI1061395,,14.39,-90.711,Hydro,1970.0,MISSING_CAPACITY
NOR,Saheim,WRI1003471,206.0,59.877,8.5929,Hydro,,
IRL,Kilgarvan,WRI1022913,45.0,51.9342,-9.3269,Wind,2006.0,
USA,Chalk Cliff Limited,USA0050003,46.0,35.0968,-119.4299,Gas,1990.0,
CHN,Huaan Xipi,WRI1071028,44.0,25.2,117.467,Hydro,,
BRA,Brecha,BRA0000315,12.4,-20.5458,-42.9625,Hydro,1958.0,
CZE,Kladno (TG6),WRI1019208,110.0,50.1535,14.127,Gas,1999.0,
GBR,Land at Whatton Road,GBR0004748,1.5,52.828,-1.287,Solar,,
USA,Hinton,USA0061615,3.0,35.4947,-98.3857,Solar,2017.0,
GBR,Ufton,GBR0000717,1.0,52.2477,-1.4434,Waste,,
USA,Oswego County - Fulton Solar,USA0060818,2.0,43.3424,-76.3432,Solar,2018.0,
CHL,PUNITAQUI,CHL0000079,,-30.858,-71.2406,Oil,,MISSING_CAPACITY
USA,Nottoway Diesel Generating Facility,USA0007941,,36.6972,-77.105,Oil,2002.0,MISSING_CAPACITY
BRA,Oiapoque COEN,BRA0032304,12.83,3.6063,-51.8411,Oil,2015.0,
NZL,Cobb,WRI1000343,32.0,-41.0861,172.7325,Hydro,1914.0,
GBR,Corriegarth,GBR0004664,69.0,57.1901,-4.3596,Wind,,
CHN,Beijing Guanting Wind Phase 2,WRI1071572,85.0,40.3375,115.675,Wind,,
CAN,Smiths Falls 3,CAN0008380,6.5,44.9279,-76.1158,Solar,,
ITA,Masseria Rossa 1 Solar Power Plant,WRI1026415,1.0,40.4117,17.4247,Solar,,
BRA,Santa Gabriela,BRA0028996,24.0,-17.5375,-54.4333,Hydro,2009.0,
KOR,Gangwon,WRI1023592,98.0,37.7244,128.7369,Wind,2005.0,
GBR,Pitlochry,GBR0000394,15.0,56.6991,-3.7406,Hydro,,
CHN,Jiutiaoling Small,WRI1071516,8.0,37.8864,102.1242,Hydro,,
BRA,Sobar,BRA0028048,3.864,-22.6737,-49.4107,Biomass,,
FRA,Saint-Georges-des-Gardes,WRI1024513,10.0,47.1673,-0.7645,Wind,,
CAN,Rapide-Blanc,CAN0002214,204.0,-1.0007,-168.9511,Hydro,,OCEAN_COORDS
DEU,Brohltal Solar Power Plant,WRI1030217,1.5,50.4265,7.2298,Solar,,
DEU,Richelbach Solar Power Plant,WRI1030267,14.3,49.6838,9.3871,Solar,,
FRA,Charmont-en-Beauce,WRI1023975,30.0,48.2232,2.1458,Wind,,
PRT,Coruche 2,WRI1022609,2.0,38.9188,-8.6193,Solar,2014.0,
AUS,Mt Mercer Wind Farm,AUS0000478,131.0,-37.8317,143.8892,Wind,,
NAM,Omburu,WRI1023136,,-21.4148,15.973,Solar,,MISSING_CAPACITY
CHE,Stampa,WRI1004549,5.0,46.0156,8.9453,Hydro,1926.0,
CHE,Ardon,WRI1004044,52.0,-16.8362,65.412,Hydro,1960.0,OCEAN_COORDS
USA,Burlington GT,USA0003754,25.5,44.4814,-73.2239,Oil,1971.0,
GBR,Babergh Home Solar Scheme,GBR0001893,2.8,52.0486,0.9444,Solar,,
BRA,Bahia I - Camaçari,BRA0028615,31.8,-12.6616,-38.3255,Oil,2002.0,
GBR,Hunter's Hill,GBR0003253,20.0,54.439,-7.3415,Wind,,
CAN,Lower Clowhom,CAN0008067,11.0,49.8176,-123.3973,Hydro,,
CAN,Mont Miller,CAN0008140,54.0,48.98,-65.4958,Wind,,
IRL,Aghada CCGT,WRI1002814,435.0,51.8347,-8.2362,Gas,,
DEU,Ha�loch Solar Power Plant,WRI1030288,3.3,49.3644,8.2341,Solar,,
ITA,LA CASELLA C.LE,WRI1002897,1465.85,45.0904,9.4805,Gas,,
CHN,Xinyang Tianmu Mountain Wind,WRI1072303,20.0,32.6021,113.8161,Wind,,
ROU,Ploiesti,WKS0071374,9.0,44.9469,26.0693,Solar,,
USA,Dalton 2,USA0059556,6.5,34.7181,-84.9319,Solar,2015.0,
USA,Eddystone Generating Station,USA0003161,861.6,39.858,-75.323,Gas,1974.4085422469825,
FRA,Saint-Philbert-de-Bouaine,WRI1024105,16.4,46.9925,-1.5071,Wind,,
CZE,Honětice Solar Power Plant,WRI1029476,3.3,49.2083,17.2475,Solar,,
BRA,Costa Bioenergia,BRA0030627,15.0,-23.6592,-53.3994,Biomass,2010.0,
GBR,Rushmoor Lane Farm (Cheshire Coppice),GBR0005465,5.0,52.7272,-2.5528,Solar,,
MEX,Bsm Energía de Veracruz,MEX0006652,12.8,18.6063,-96.6858,Biomass,,
JPN,Shiroi-Inzai,WKS0069762,12.8,35.8102,140.0909,Solar,,
CHN,Jiangxi Anfu Guanshan Small Bundling,WRI1071285,6.0,27.3103,114.6844,Hydro,,
CAN,China Creek,CAN0007756,6.5,49.1856,-124.7395,Hydro,,
CHN,Inner Mongolia Wudaogou Iii Wind,WRI1071337,48.0,42.73,117.95,Wind,,
CHN,Dabu Coal,WRI1070184,,24.5852,113.5831,Coal,2015.0,MISSING_CAPACITY
HND,Lufussa III,WRI1029352,231.0,13.4047,-87.3269,Oil,,
JPN,Takasago A,WKS0073702,6.5,34.7653,134.7655,Solar,,
DZA,Tilghemt 1,WRI1023787,200.0,33.1319,3.348,Gas,1980.0,
ARG,ALMIRANTE BROWN,ARG0000156,25.0,-34.8386,-58.4033,Oil,,
SVK,Lipovec Hydroelectric Power Plant Slovakia,GEODB0042645,38.4,49.132,18.9114,Hydro,,
FRA,Nozeroy,WRI1025693,1.1,46.7695,6.0355,Hydro,,
USA,Hawkeye Wind Farm,USA0057832,35.0,42.9489,-92.0622,Wind,2012.0,
CAN,Jean-Guérin,CAN0007976,5.9,46.6353,-71.0477,Hydro,,
USA,T-Bone Wind (10) LLC,USA0056836,,35.8081,-101.9986,Wind,2008.0,MISSING_CAPACITY
POL,EC Gorlice,WRI1061518,5.0,49.6769,21.1821,Coal,,
CHN,Dingbian J,WKS0073792,24.0,37.65,107.735,Solar,,
CZE,Ledeč nad Sázavou Solar Power Plant,WRI1029473,2.0,49.6829,15.275,Solar,,
PHL,Calaca power station,WRI1001870,900.0,13.9303,120.7886,Coal,2007.0,
CHN,Nanjiangkou Small Yunan County,WRI1071458,12.0,23.068,111.818,Hydro,,
USA,Wright Cuddyer CSG,USA0061494,4.0,45.1831,-93.7341,Solar,2018.0,
ESP,PUERTO DE BARCELONA  GRUPO 2,WRI1007821,866.3,-7.7695,-130.365,Gas,2010.0,OCEAN_COORDS
USA,Glen Ferris Hydro,USA0050010,6.199999999999999,38.1483,-81.2147,Hydro,1915.0645161290324,
CAN,Zellstoff Celgar Mill,CAN0008571,78.0,49.3361,-117.7275,Biomass,,
FRA,Fécamp,WRI1024938,4.7,49.7526,0.3961,Wind,,
USA,Portal Ridge Solar B  LLC,USA0060310,20.0,34.7165,-118.2821,Solar,2017.0,
USA,Chalmette Refining LLC,USA0050626,5.7,5.5076,-157.2181,Other,1990.0,OCEAN_COORDS
USA,Glades Pike Generation Plant,USA0059759,,40.0067,-79.041,Waste,2011.0,MISSING_CAPACITY
PHL,PCPC,WRI1029966,135.0,11.1872,123.121,Coal,2016.0,
USA,TalenEnergy Montour,USA0003149,1757.9,41.0714,-76.6672,Coal,1972.5079924910403,
USA,Brunot Island,USA0003096,365.4,40.4649,-80.0438,Gas,1973.324302134647,
FRA,Treilles,WRI1024177,13.0,42.9178,2.9436,Wind,,
USA,Clif Bar Bakery of Twin Falls,USA0062151,2.0,42.541,-114.4125,Solar,2019.0,
USA,Los Vientos Windpower IV,USA0059321,,26.3806,-98.8183,Wind,2016.0,MISSING_CAPACITY
USA,Valdez,USA0006306,8.6,61.1303,-146.3647,Oil,1989.860465116279,
FRA,Saffré,WRI1024108,16.304,47.4913,-1.5793,Wind,,
RUS,Reftinskaya GRES,WRI1003790,3800.0,57.1067,61.7117,Coal,1970.0,
PHL,Raslag,WKS0064259,10.0,15.132,120.635,Solar,,
IND,Tiruchuli,WKS0070873,50.0,9.522,78.228,Solar,,
USA,Castle Gap Solar Hybrid,USA0060123,,31.255,-102.272,Solar,2018.0521327014217,MISSING_CAPACITY
FRA,Cormont,WRI1024592,9.2,50.5646,1.7442,Wind,,
FRA,Aubusson,WRI1025428,1.54832,45.9509,2.1665,Solar,,
ITA,ORSA MAGGIORE,WRI1021810,15.0,42.36,11.522,Solar,,
USA,Port Leyden Hydroelectric Project,USA0010817,1.0,43.5836,-75.3392,Hydro,1986.0,
AUT,Rodundwerk I,WRI1019158,198.0,47.085,9.8813,Hydro,,
USA,Rocky Road Power LLC,USA0055109,415.5,42.0931,-88.2397,Gas,1999.2945848375448,
GBR,Vine Farm Solar Park,GBR0002329,45.0,52.1112,-0.0691,Solar,,
USA,Bear Creek Solar,USA0061351,2.0,35.5403,-79.4491,Solar,2017.0,
USA,Hillcrest Pump Station,USA0054142,,39.6419,-104.9138,Hydro,1993.0,MISSING_CAPACITY
USA,Baer Road CSG,USA0062034,2.0,41.797,-75.068,Solar,2018.0,
BRA,Ventos de Campo Formoso I,BRA0030943,30.0,-10.6277,-40.6855,Wind,2016.0,
AUS,Rockingham,AUS0000358,2.1,-32.2863,115.8154,Waste,,
CAN,Mont Rothery,CAN0008617,74.0,48.972,-65.3796,Wind,,
USA,Brandon Shores,USA0000602,1370.2,39.18,-76.5389,Coal,1987.5,
IDN,PLTGB Tanjung Batu,WRI1000868,2.0,-0.5,117.15,Gas,,
IND,Seegipalle,WKS0066887,50.0,13.935,77.49,Solar,,
USA,Whitegrass No. 1,USA0063001,6.3999999999999995,39.1633,-119.1805,Geothermal,2018.0,
BRA,Terranova I,BRA0028961,3.0,-26.25,-49.5085,Biomass,2000.0,
ECU,Manduriacu,WRI1022990,65.0,0.2147,-78.9122,Hydro,2015.0,
GBR,Wolseley National Distribution Centre,GBR0002389,,52.2736,-1.5357,Solar,,MISSING_CAPACITY
FRA,La Bastide-de-Bousignac,WRI1025578,1.23905,43.0582,1.8846,Solar,,
USA,Nichols,USA0003484,474.7,-27.9697,89.0155,Gas,1964.649673477986,OCEAN_COORDS
GBR,Moss Thorn Farm,GBR0006019,5.8,54.6678,-2.7983,Solar,,
FRA,Saint-Michel-Chef-Chef,WRI1024463,10.25,47.1753,-2.1272,Wind,,
DEU,Greding Solar Power Plant,WRI1030305,4.5,17.6144,-39.8917,Solar,,OCEAN_COORDS
USA,Washington County Cogeneration Facility,USA0007697,122.5,4.9952,-167.1444,Gas,1999.0,OCEAN_COORDS
KOR,Pyeongtaek,WRI1000197,1400.0,37.0041,126.7946,Oil,,
FRA,Trémeheuc,WRI1024264,12.0,48.4387,-1.6977,Wind,,
BRA,Serra das Vacas II,BRA0031540,,-8.8952,-36.7257,Wind,2015.0,MISSING_CAPACITY
CHN,Taiyangshan Phase 4,WRI1071873,49.0,-7.5479,-148.7066,Wind,,OCEAN_COORDS
CHN,Jingneng Jixiang Huaya Phase 2,WRI1071386,49.0,43.47,115.77,Wind,,
GBR,Upper Farm solar park,GBR0002082,12.0,51.1721,-1.0997,Solar,,DUPLICATE_ID
FRA,La Salvetat-Peyralès,WRI1025362,1.72735,44.2211,2.1966,Solar,,DUPLICATE_ID
FRA,Villar-d'Arêne,WRI1024941,4.659,45.0001,6.3639,Hydro,,DUPLICATE_ID
GBR,Metheringham Heath (Farm AD),GBR0000331,6.5,53.1334,-0.4721,Biomass,,DUPLICATE_ID
POL,FW Lipniki,WRI1061600,30.0,50.5355,17.1067,Wind,2011.0,DUPLICATE_ID
CHN,Qinghai Yuhui Solar,WRI1026372,20.0,37.0,98.395,Solar,,DUPLICATE_ID
AUS,Pedler Creek,AUS0000236,3.0,-35.2023,138.5021,Waste,,DUPLICATE_ID
JPN,Jozankei,WRI1020235,120.0,42.9871,141.1562,Hydro,1989.0,DUPLICATE_ID
ARG,NUEVA ESPERANZA,ARG0000323,3.38,-26.2072,-64.2477,Oil,,DUPLICATE_ID
USA,Ashland,USA0001259,5.6000000000000005,37.1938,-99.7631,Oil,1983.196428571428,DUPLICATE_ID
CHN,Baiyun Ebo Inner Mongolia Luneng Phase 2,WRI1071705,49.0,41.6778,109.9572,Wind,,DUPLICATE_ID
USA,Big Thompson,USA0000515,4.5,40.421,-105.2238,Hydro,1959.0,DUPLICATE_ID
KEN,Olkaria I,WRI1000048,45.0,-0.8893,36.2557,Geothermal,1981.0,DUPLICATE_ID
USA,Wor-Wic Community College - Offsite,USA0063512,2.0,38.4133,-75.6901,Solar,2019.0,DUPLICATE_ID
BRA,São Tomé,BRA0029202,4.0,-23.5384,-52.6406,Biomass,2004.0,DUPLICATE_ID
USA,Victor Mesa Linda C2,USA0059270,1.5,34.5114,-117.3872,Solar,2014.0,DUPLICATE_ID
USA,Moorhead Wind Turbine,USA0007855,1.4,46.895,-96.7347,Wind,2000.0,DUPLICATE_ID
BRA,Salto do Passo Velho,BRA0002173,1.8,-26.75,-52.4167,Hydro,2001.0,DUPLICATE_ID
CHN,Tongmei Datang power station,WRI1070202,660.0,39.9796,113.1859,Coal,2014.0,DUPLICATE_ID
ESP,P. E.  LA GAMONEDA (AMPLIADA CON RE-1814),WRI1006731,19.8,42.0357,-6.9054,Wind,,DUPLICATE_ID
IND,TALWANDI SABO,IND0000440,1980.0,29.924,75.2372,Coal,2015.0,DUPLICATE_ID
CAN,Bear Mountain,CAN0002105,102.0,55.7041,-120.4264,Wind,,DUPLICATE_ID
THA,Lam Ta Khong,WRI1000170,1000.0,14.8073,101.5453,Hydro,2002.0,DUPLICATE_ID
FRA,La Rochelle-Normande,WRI1025294,1.98698,48.7632,-1.4354,Solar,,DUPLICATE_ID
USA,Salisbury City of,USA0007400,6.4,39.4236,-92.8028,Oil,1985.0625,DUPLICATE_ID
CZE,Krhanice Solar Power Plant,WRI1029770,1.3,49.8549,14.5662,Solar,,DUPLICATE_ID
GTM,Palo Viejo,WRI1061402,85.0,15.5,-90.874,Hydro,2012.0,DUPLICATE_ID
IDN,Riam Kanan/pangeran Muhamad Nur,WRI1001004,30.0,-3.5156,115.0074,Hydro,,DUPLICATE_ID
FRA,Saint-Maximin-la-Sainte-Baume,WRI1025525,1.31957,43.451,5.8594,Solar,,DUPLICATE_ID
KOR,Pyeongtaek,WRI1000197,1400.0,37.0041,126.7946,Oil,,DUPLICATE_ID
USA,Quincy II Solar Garden,USA0061752,1.5,39.6384,-104.6625,Solar,2018.0,DUPLICATE_ID
CHE,Kernkraftwerk Beznau,WRI1004271,760.0,47.552,8.2281,Nuclear,,DUPLICATE_ID
VNM,Hat Liu,WRI1030901,,21.5067,104.3622,Hydro,2014.0,DUPLICATE_ID|MISSING_CAPACITY
CZE,Kosořín 1 Solar Power Plant,WRI1029664,2.0,49.9797,16.2381,Solar,,DUPLICATE_ID
USA,Pelzer Lower,USA0010800,3.3,34.6165,-82.4479,Hydro,1990.0,DUPLICATE_ID
GBR,Cattlegate Farm Biogas (Farm AD),GBR0000342,1.5,51.696,-0.1116,Biomass,,DUPLICATE_ID
GRC,TSOUKA TSOUGARI,WRI1026622,,38.2713,24.2366,Wind,2000.0,DUPLICATE_ID|MISSING_CAPACITY
CHN,Qili} M,WKS0065817,75.0,40.13,94.473,Solar,,DUPLICATE_ID
USA,Rocky Mountain Hydroelectric Plant,USA0006189,847.8000000000001,-23.0141,73.7278,Hydro,1995.0,OCEAN_COORDS|DUPLICATE_ID
USA,SEGS IV,USA0010440,34.2,35.0122,-117.5557,Solar,1987.0,DUPLICATE_ID
FRA,Avesnes-en-Bray,WRI1024329,12.0,49.473,1.6756,Wind,,DUPLICATE_ID
FRA,Étampes,WRI1025256,2.126,48.4218,2.1378,Biomass,,DUPLICATE_ID
BRA,Ventos de Morrinhos,BRA0030945,30.0,-10.5696,-40.6286,Wind,2015.0,DUPLICATE_ID
ESP,SEROS II 1,WRI1023650,44.24,41.4744,0.4534,Hydro,1989.0,DUPLICATE_ID
USA,Orion Solar I,USA0058718,12.0,35.1507,-118.875,Solar,2014.0,DUPLICATE_ID
JPN,Nakanishi A,WKS0070653,20.0,34.722,138.172,Solar,,DUPLICATE_ID
CHN,Yuzhou A,WKS0070011,35.0,34.335,113.359,Solar,,DUPLICATE_ID
USA,Hopkinton CSG,USA0062760,2.0,42.2035,-71.5315,Solar,2019.0,DUPLICATE_ID
CAN,Mont Rothery,CAN0008617,74.0,48.972,-65.3796,Wind,,DUPLICATE_ID
CHN,Yaomeng power station,WRI1070770,2160.0,33.7375,113.2419,Coal,1994.0,DUPLICATE_ID
BRA,Juiz de Fora,BRA0001276,87.048,-21.6855,-43.4475,Gas,2002.0,DUPLICATE_ID
USA,NHH004 Winthrop Fuel Cell,USA0063649,1.0,40.6568,-73.9467,Gas,2018.0,DUPLICATE_ID
GBR,Hunter's Hill,GBR0003253,20.0,54.439,-7.3415,Wind,,DUPLICATE_ID
AUS,Broken Hill,AUS0000305,50.0,-31.9863,141.4203,Gas,,DUPLICATE_ID
CHN,Inner Mongolia Wudaogou Iii Wind,WRI1071337,48.0,42.73,117.95,Wind,,DUPLICATE_ID
IND,Harij,WKS0073925,30.0,23.715,71.875,Solar,,DUPLICATE_ID
USA,Yough Hydro Power,USA0052036,12.2,39.8016,-79.3682,Hydro,1990.0,DUPLICATE_ID
CAN,Fitzpatrick Mountain,CAN0007859,1.6,45.6264,-62.9013,Wind,,DUPLICATE_ID
USA,Crawfordsville Power Plant,USA0001024,24.9,-10.0587,83.3538,Coal,1961.313253012048,OCEAN_COORDS|DUPLICATE_ID
GBR,Kings Barn Farm - Energy Barn,GBR2001162,10.0,50.8898,-0.3172,Storage,,DUPLICATE_ID
BRA,Vila Pará III,BRA0031765,24.0,15.7211,-38.1741,Wind,2016.0,OCEAN_COORDS|DUPLICATE_ID
USA,Mountaineer,USA0006264,1300.0,38.9794,-81.9344,Coal,1980.0,DUPLICATE_ID
CHN,Fuqing Jiaru Wind Power Phase 2,WRI1072073,,25.571,119.554,Wind,,DUPLICATE_ID|MISSING_CAPACITY
DEU,Braschwitz Solar Power Plant,WRI1030132,8.0,51.5183,12.0639,Solar,,DUPLICATE_ID
USA,Haywood Farm Solar  LLC,USA0061255,4.9,35.343,-79.915,Solar,2017.0,DUPLICATE_ID
GTM,Ortitlán,WRI1061454,25.2,14.41,-90.607,Geothermal,2007.0,DUPLICATE_ID
CAN,Matthias,CAN0008097,3.0,44.9934,-79.2019,Hydro,,DUPLICATE_ID
USA,Bankhead Dam,USA0000002,53.9,33.4587,-87.3568,Hydro,1963.0,DUPLICATE_ID
CAN,Lily Lake,CAN0008047,10.0,44.3136,-78.3926,Solar,,DUPLICATE_ID
GBR,Chapel Lane Parley Solar Farm Phase 1,GBR0002282,20.0,50.7918,-1.8612,Solar,,DUPLICATE_ID
SGP,Pasir Panjang Gas Turbine Power Station Singapore,GEODB0004720,210.0,1.2715,103.7989,Gas,,DUPLICATE_ID
ESP,NEUMATICOS MICHELIN-VITORIA,WRI1006705,47.0,42.85,-2.6667,Gas,,DUPLICATE_ID
POL,Rakowice,WRI1061545,,51.1294,15.5766,Hydro,2005.0,DUPLICATE_ID|MISSING_CAPACITY
URY,ENGRAW,URY0000854,3.6,-34.2042,-55.748,Wind,,DUPLICATE_ID
USA,Moser Generating Station,USA0003163,63.599999999999994,40.2352,-75.6193,Oil,1970.0,DUPLICATE_ID
FIN,Vaaja,WRI1002570,3.6,63.096,21.6158,Hydro,,DUPLICATE_ID
USA,Flambeau Lower Project,USA0055685,1.2000000000000002,45.9135,-90.4475,Hydro,1923.0,DUPLICATE_ID
USA,Aqua Ingrams Mill,USA0057280,,39.9647,-75.6578,Solar,2010.0,DUPLICATE_ID|MISSING_CAPACITY
ARE,Layyah Power Station (LPS),WRI1023584,911.0,25.3527,55.3705,Gas,1977.0,DUPLICATE_ID
IND,T.B. DAM,IND0000436,36.0,15.2615,76.3379,Hydro,1960.0,DUPLICATE_ID
