country,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,error_flags
ESP,LAS SALINAS 9 (GAS MOVIL 1),WRI1006617,11.74,28.5004,-13.8627,Oil,1988.0,
BRA,Jucazinho,BRA0031081,1.0,-8.006,-35.6969,Hydro,,
USA,Whitt Solar,USA0061952,,34.7216,-82.5243,Solar,2019.0,MISSING_CAPACITY
FRA,Bonnat,WRI1024864,5.72123,46.323,1.9137,Solar,,
GBR,Shroton,WKS0061949,4.0,50.9243,-2.2124,Solar,,
RUS,Nizhnekamsk hydroelectric power station,WRI1061817,1205.0,55.6997,52.2786,Hydro,,
NLD,Diemen 33,WRI1019310,684.0,52.3389,5.0213,Gas,1995.0,
USA,K-Brink Windfarm LLC,USA0056206,2.0,44.0197,-96.1183,Wind,2003.0,
CHN,Ningdong SA1,WKS0062437,100.0,38.162,106.762,Solar,,
CHN,Sihong Tianganghu,WKS0064401,82.0,33.21,118.03,Solar,,
ROU,HPP Galceag,WRI1019121,149.0,45.5879,23.6279,Hydro,,
USA,Knouse Solar Project 1,USA0057412,3.0,40.0264,-77.2344,Solar,2011.0,
USA,Puna,USA0007130,39.1,19.6316,-155.0313,Oil,1990.4143222506395,
IND,Bidar E,WKS0074108,15.0,17.925,77.368,Solar,,
POL,EC Knurów,WRI1061520,8.0,50.2153,18.6785,Coal,,
CHN,Fengle N,WKS0066629,11.0,38.114,102.252,Solar,,
GTM,Poliwatt,WRI1061435,129.4,13.92,-90.786,Oil,2000.0,
GEO,Inguri (Enguri) Dam Hydroelectric Power Station Georgia,GEODB0003667,1300.0,-3.3353,-143.6491,Hydro,,OCEAN_COORDS
IND,MAHADEV PRASAD STPP,IND0000246,540.0,22.8395,86.0613,Coal,2012.0,
URY,PAMPA,URY0000869,141.6,-32.2467,-56.215,Wind,,
USA,Southern Minnesota Beet Sugar,USA0054533,,44.7964,-95.1798,Coal,1976.0,MISSING_CAPACITY
CAN,St. Isidore B,CAN0008420,12.0,45.3637,-74.9092,Solar,,
POL,FW Tychowo-Noskowo,WRI1061598,50.0,54.3781,16.7961,Wind,2009.0,
GBR,Skelmonae Wind Farm,GBR0003075,3.2,57.4208,-2.1898,Wind,,
LAO,Nam Ngum 1,WRI1001051,,15.4919,106.2788,Hydro,1990.0,MISSING_CAPACITY
CHN,Jinchuan C,WKS0064992,50.0,38.602,102.171,Solar,,
IDN,PLTU Ombilin - Sijantang - Sawahlunto,WRI1000960,200.0,-0.6094,100.7535,Coal,,
USA,Spencer Farm  LLC,USA0061220,5.0,35.7129,-80.4079,Solar,2017.0,
BRA,STF Anexo II,BRA0030464,1.088,-15.7767,-47.7879,Oil,,
FIN,Huikku Hailuoto,WRI1002670,2.0,65.009,24.7139,Wind,,
USA,Pinetree Power Fitchburg,USA0054620,18.0,42.5428,-71.8528,Waste,1992.0,
PHL,Mindanao Steag power station,WRI1001962,232.0,8.5725,124.7573,Coal,2006.0,
USA,DG AMP Solar Piqua Staunton,USA0061805,1.8,40.1409,-84.2315,Solar,2018.0,
USA,Pine Tree Wind Power Project,USA0056433,135.0,35.248,-118.1754,Wind,2009.0,
JPN,Shirakawa A,WKS0073684,,37.136,140.23,Solar,,MISSING_CAPACITY
USA,Kingman Wind,USA0060639,214.8,-15.1373,88.7541,Wind,2017.0,OCEAN_COORDS
USA,Tenaska Frontier Generation Station,USA0055062,939.7,30.5924,-95.9178,Gas,2000.0,
GBR,Ewe Hill I,GBR0004015,13.8,55.1071,-3.3339,Wind,,
USA,Marshall Ford,USA0003600,108.0,30.3899,-97.9073,Hydro,1941.0,
CHN,Hongxing Erchang G,WKS0070260,20.0,42.851,93.231,Solar,,
USA,Butler Plaza,USA0058618,1.2,29.6231,-82.38,Solar,2011.0,
USA,Rathdrum Power LLC,USA0055179,301.5,47.7858,-116.9203,Gas,2001.0,
CAN,Ingersoll 1,CAN0007965,9.5,43.088,-80.8462,Solar,,
IND,Anabura Wind Farm,WRI1026069,16.5,14.5751,76.3926,Wind,,
BRA,Luiz Oscar Rodrigues de Melo (Antiga Linhares),BRA0030054,204.0,-19.5323,-39.7992,Gas,2010.0,
EST,Vanakula,WRI1022402,9.0,59.1211,23.5657,Wind,2009.0,
USA,MF Mesa Lane LLC,USA0056993,3.0,40.1483,-74.7772,Solar,2008.0,
USA,South Harper,USA0056151,351.0,38.6803,-94.4824,Gas,2005.0,
CAN,Mercier,CAN0008114,55.0,46.7173,-75.9825,Hydro,,
MNG,Zamyn-Üüd,WKS0072178,15.0,43.725,111.827,Solar,,
BRA,Girassol,BRA0030426,1.0,-13.9969,-45.403,Hydro,2010.0,
OMN,Manah,WRI1023721,279.0,22.7067,57.5779,Gas,1997.0,
DEU,UTB,WRI1006121,16.0,52.0778,13.5173,Biomass,2002.0,
CAN,Laforge-1,CAN0002179,878.0,54.1693,-72.6146,Hydro,,
GBR,Stowbridge Farm,GBR0002065,24.0,52.329,0.2182,Solar,,
USA,Lorenzo Wind,USA0059244,80.0,33.6992,-101.5247,Wind,2019.0,
GBR,Rookery Business Park,GBR0005296,5.0,52.5353,1.0661,Solar,,
USA,Tuxedo,USA0002736,5.0,35.245,-82.3894,Hydro,1920.0,
USA,DodgeSun CSG,USA0061379,5.0,44.0404,-92.69,Solar,2018.0,
CHN,Yabulaizhen A,WKS0070288,10.0,39.443,102.818,Solar,,
BRA,Gás Anamã,BRA0029942,3.3000000000000003,-3.5761,-61.395,Gas,,
USA,Foundation Cemex BMQ,USA0058102,3.0,34.6231,-117.1125,Wind,2013.0,
CHN,Yunnan Lujichang,WRI1071206,96.0,26.1,102.44,Hydro,,
USA,Helms Pumped Storage,USA0006100,1053.0,37.0293,-118.9683,Hydro,1984.0,
USA,Cowiche,USA0050423,1.7,46.6926,-120.7372,Hydro,1987.0,
FRA,Ygos 1,WKS0069172,12.0,44.0348,-0.728,Solar,,
USA,Dartmouth II Solar,USA0057838,2.0,41.6806,-71.0308,Solar,2012.0,
USA,Flambeau River Papers,USA0050620,5.7,45.9356,-90.4472,Waste,1982.0,
GBR,Land at Overside and Greenwellheads Farms,GBR0003802,9.2,57.5822,-1.8993,Wind,,
IND,Ratedi Mondri Wind Farm,WRI1026770,26.4,26.8026,70.7736,Wind,,
CHN,Chaohu C,WKS0070378,25.0,31.816,117.832,Solar,,
PRT,Alrota,WRI1023264,5.0,38.9345,-9.1475,Wind,2008.0,
